AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2012,5568,9,LICEO TECNICO DE TEMUCO,9,,,9101,TEMUCO,,,2,1,0,,610,7,6,1,1,E,1,0,,19559445,2,19941006,17,9,9112,PADRE LAS CASAS,0,0,610,,6
2012,5568,9,LICEO TECNICO DE TEMUCO,9,,,9101,TEMUCO,,,2,1,0,,610,7,6,3,3,B,1,0,,14616301,2,19950806,16,9,9112,PADRE LAS CASAS,610,61002,610,,8
2012,5568,9,LICEO TECNICO DE TEMUCO,9,,,9101,TEMUCO,,,2,1,0,,610,7,6,3,3,D,1,0,,5168755,2,19930720,18,9,9112,PADRE LAS CASAS,620,62004,610,,8
2012,5568,9,LICEO TECNICO DE TEMUCO,9,,,9101,TEMUCO,,,2,1,0,,610,7,6,3,3,D,1,0,,13319209,2,19950629,17,9,9112,PADRE LAS CASAS,620,62004,610,,8
2012,5568,9,LICEO TECNICO DE TEMUCO,9,,,9101,TEMUCO,,,2,1,0,,610,7,6,3,3,D,1,0,,20262386,2,19931007,18,9,9101,TEMUCO,620,62004,610,,8
2012,5568,9,LICEO TECNICO DE TEMUCO,9,,,9101,TEMUCO,,,2,1,0,,610,7,6,4,4,A,1,0,,12375290,2,19911015,20,9,9112,PADRE LAS CASAS,610,61002,610,,8
2012,5568,9,LICEO TECNICO DE TEMUCO,9,,,9101,TEMUCO,,,2,1,0,,610,7,6,4,4,C,1,0,,22410171,2,19911102,20,9,9103,CUNCO,620,62004,610,,8
2012,5569,7,LICEO GABRIELA MISTRAL DE TEMUCO,9,,,9101,TEMUCO,,,2,1,0,,310,5,4,3,3,A,3,0,,12785287,2,19951206,16,9,9101,TEMUCO,0,0,0,,7
2012,5569,7,LICEO GABRIELA MISTRAL DE TEMUCO,9,,,9101,TEMUCO,,,2,1,0,,310,5,4,4,4,A,3,0,,18360941,2,19941221,17,9,9112,PADRE LAS CASAS,0,0,0,,7
2012,5570,0,LICEO PABLO NERUDA,9,,,9101,TEMUCO,,,2,1,0,,310,5,4,1,1,D,2,0,,12067196,1,19971030,14,9,9112,PADRE LAS CASAS,0,0,0,,5
2012,5570,0,LICEO PABLO NERUDA,9,,,9101,TEMUCO,,,2,1,0,,310,5,4,1,1,I,2,0,,20687477,2,19970721,14,9,9112,PADRE LAS CASAS,0,0,0,,5
2012,5570,0,LICEO PABLO NERUDA,9,,,9101,TEMUCO,,,2,1,0,,310,5,4,2,2,M,2,0,,8381433,1,19961020,15,9,9112,PADRE LAS CASAS,0,0,0,,5
2012,5570,0,LICEO PABLO NERUDA,9,,,9101,TEMUCO,,,2,1,0,,310,5,4,4,4,J,1,0,,12277538,2,19950610,17,9,9103,CUNCO,0,0,0,,7
2012,5574,3,COMPLEJO EDUCACIONAL PADRE LAS CASAS,9,,,9112,PADRE LAS CASAS,,,3,2,0,,410,7,6,1,1,C,3,0,,10132692,1,19971011,14,9,9112,PADRE LAS CASAS,0,0,410,,6
2012,5580,8,ESCUELA CAMPOS DEPORTIVOS,9,,,9101,TEMUCO,,,2,1,0,,110,2,2,1,1,C,2,0,,23052751,2,20050717,6,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5583,2,ESCUELA SANTA ROSA,9,,,9101,TEMUCO,,,2,1,0,,10,1,1,4,4,B,3,0,,21335101,2,20070729,4,9,9101,TEMUCO,0,0,0,,1
2012,5623,5,ESCUELA TRUMPULO CHICO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,10,1,1,4,4,A,1,0,,13399830,2,20071211,4,9,9112,PADRE LAS CASAS,0,0,0,,1
2012,5623,5,ESCUELA TRUMPULO CHICO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,1,1,A,3,0,,7734184,1,20050824,6,9,9112,PADRE LAS CASAS,0,0,0,,3
