AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2021,2260,8,COLEGIO COYA,6,LGBO,61,6108,MACHALÍ,61,0,4,3,0,1,310,5,4,3,3,A,3,0,0,5063378,2,200501,16,12,12101,PUNTA ARENAS,0,0,0,0,7
2021,2559,3,ESCUELA MUNICIPAL DE BARREALES,6,LGBO,63,6310,SANTA CRUZ,62,0,2,1,1,1,110,2,2,1,1,A,3,0,0,18619301,2,201412,6,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,2789,8,ALIANZA FRANCESA JEAN MERMOZ,7,MAULE,73,7301,CURICÓ,71,0,4,3,0,1,310,5,4,4,4,B,3,0,0,19123038,1,200310,17,12,12101,PUNTA ARENAS,0,0,0,0,7
2021,3204,2,COLEGIO CONSTITUCION,7,MAULE,71,7102,CONSTITUCIÓN,72,0,4,3,0,1,110,2,2,4,4,A,3,0,0,14063412,2,201106,10,7,7102,CONSTITUCIÓN,0,0,0,0,3
2021,3204,2,COLEGIO CONSTITUCION,7,MAULE,71,7102,CONSTITUCIÓN,72,0,4,3,0,1,110,2,2,6,6,A,3,0,0,11395915,1,200906,12,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,3296,4,ESC.AGRIC.PART.SALESIANA DON BOSCO,7,MAULE,74,7401,LINARES,73,0,3,2,0,1,710,7,6,2,2,A,3,0,0,21698635,1,200509,15,7,7203,PELLUHUE,0,0,0,0,6
2021,3308,1,COLEGIO CONCEPCION LINARES,7,MAULE,74,7401,LINARES,73,0,3,2,0,1,110,2,2,5,5,A,3,0,0,23193202,1,201002,11,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,3711,7,COLEGIO DE LA PURISIMA CONCEPCION,16,NUBLE,161,16101,CHILLÁN,81,0,3,2,0,1,110,2,2,5,5,B,3,0,0,8444708,2,201006,11,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,3713,3,COLEGIO SEMINARIO PADRE ALBERTO HURTADO,16,NUBLE,161,16101,CHILLÁN,81,0,3,2,0,1,110,2,2,3,3,A,3,0,0,17458557,2,201301,8,13,13114,LAS CONDES,0,0,0,0,3
2021,4140,8,LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE SAN NICOLÁS,16,NUBLE,163,16305,SAN NICOLÁS,81,0,2,1,0,1,110,2,2,3,3,B,3,0,0,23715368,2,201211,8,16,16305,SAN NICOLÁS,0,0,0,0,3
2021,4285,4,LICEO ALEMAN DEL VERBO DIVINO,8,BBIO,83,8301,LOS ÁNGELES,82,0,4,3,0,1,110,2,2,4,4,C,3,0,0,8835763,2,201101,10,8,8301,LOS ÁNGELES,0,0,0,0,3
2021,4285,4,LICEO ALEMAN DEL VERBO DIVINO,8,BBIO,83,8301,LOS ÁNGELES,82,0,4,3,0,1,110,2,2,5,5,A,3,0,0,16414325,2,200910,11,8,8301,LOS ÁNGELES,0,0,0,0,3
2021,4285,4,LICEO ALEMAN DEL VERBO DIVINO,8,BBIO,83,8301,LOS ÁNGELES,82,0,4,3,0,1,110,2,2,7,7,A,3,0,0,7099034,2,200703,14,13,13114,LAS CONDES,0,0,0,0,3
2021,4285,4,LICEO ALEMAN DEL VERBO DIVINO,8,BBIO,83,8301,LOS ÁNGELES,82,0,4,3,0,1,110,2,2,8,8,C,3,0,0,13543158,1,200708,13,8,8301,LOS ÁNGELES,0,0,0,0,3
2021,4285,4,LICEO ALEMAN DEL VERBO DIVINO,8,BBIO,83,8301,LOS ÁNGELES,82,0,4,3,0,1,310,5,4,4,4,B,3,0,0,2791824,2,200304,18,8,8301,LOS ÁNGELES,0,0,0,0,7
2021,4286,2,COLEGIO ALEMAN LOS ANGELES,8,BBIO,83,8301,LOS ÁNGELES,82,0,4,3,0,1,110,2,2,3,3,A,1,0,0,6634880,2,201207,8,8,8301,LOS ÁNGELES,0,0,0,0,3
2021,4665,5,COLEGIO EDWARD,8,BBIO,81,8101,CONCEPCIÓN,83,0,3,2,0,1,110,2,2,1,1,A,2,0,0,20365000,2,201405,7,8,8101,CONCEPCIÓN,0,0,0,0,3
2021,4687,6,COLEGIO ALEMAN DE CONCEPCIÓN,8,BBIO,81,8108,SAN PEDRO DE LA PAZ,83,0,4,3,0,1,110,2,2,5,5,C,3,0,0,2253462,2,201005,11,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,4689,2,COLEGIO CONCEPCION,8,BBIO,81,8103,CHIGUAYANTE,83,0,4,3,0,1,310,5,4,2,2,B,3,0,0,12966997,2,200412,16,8,8101,CONCEPCIÓN,0,0,0,0,5
2021,4694,9,SAINT JOHN´S SCHOOL,8,BBIO,81,8108,SAN PEDRO DE LA PAZ,83,0,4,3,0,1,310,5,4,3,3,C,3,0,0,15321447,2,200410,16,12,12101,PUNTA ARENAS,0,0,0,0,7
2021,4694,9,SAINT JOHN´S SCHOOL,8,BBIO,81,8108,SAN PEDRO DE LA PAZ,83,0,4,3,0,1,310,5,4,3,3,D,3,0,0,12928378,2,200407,16,9,9211,VICTORIA,0,0,0,0,7
2021,4796,1,ARTURO PRAT CHACON,8,BBIO,81,8110,TALCAHUANO,83,0,4,3,0,1,110,2,2,7,7,B,3,0,0,20935254,2,200902,12,5,5109,VIÑA DEL MAR,0,0,0,0,3
